modelo;fold_externo;fold_interno;parametros;c_index_validacao_interna;n_genes_inner
RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6163998876720023;20
RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.7113997113997114;13
RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=sqrt";0.6852064220183486;19
RSF;3;1;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.611625947767481;20
RSF;3;2;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.7177489177489178;13
RSF;3;3;"n_estimators=200; min_samples_split=25; min_samples_leaf=20; max_features=5";0.6909403669724771;19
RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.7151864035087719;12
RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6680406705138774;11
RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=sqrt";0.6638167938931298;22
RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.7236842105263158;12
RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6532014289640011;11
RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=10; max_features=5";0.6647328244274809;22
RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.7335526315789473;12
RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.6677658697444353;11
RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=sqrt";0.683969465648855;22
RSF;4;1;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.7275219298245614;12
RSF;4;2;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6658422643583402;11
RSF;4;3;"n_estimators=100; min_samples_split=15; min_samples_leaf=20; max_features=5";0.6659541984732824;22
RSF;4;1;"n_estimators=100; min_samples_split=25; min_samples_leaf=10; max_features=sqrt";0.7308114035087719;12
